Company Name,Other income,Profit after tax,Total capital,Reserves and funds,Deposits (accepted by commercial banks),Current liabilities & provisions,Income from financial services,Other income.1,Profit after tax.1,Total capital.1,Reserves and funds.1,Deposits (accepted by commercial banks).1,Current liabilities & provisions.1,Income from financial services.1,Other income.2,Profit after tax.2,Total capital.2,Reserves and funds.2,Deposits (accepted by commercial banks).2,Current liabilities & provisions.2,Income from financial services.2,Other income.3,Profit after tax.3,Total capital.3,Reserves and funds.3,Deposits (accepted by commercial banks).3,Current liabilities & provisions.3,Income from financial services.3,Other income.4,Profit after tax.4,Total capital.4,Reserves and funds.4,Deposits (accepted by commercial banks).4,Current liabilities & provisions.4,Income from financial services.4,Other income.5,Profit after tax.5,Total capital.5,Reserves and funds.5,Deposits (accepted by commercial banks).5,Current liabilities & provisions.5,Income from financial services.5,Other income.6,Profit after tax.6,Total capital.6,Reserves and funds.6,Deposits (accepted by commercial banks).6,Current liabilities & provisions.6,Income from financial services.6
Royal Bank Of Scotland N V,-0.133358949,-0.063728389,-0.378720398,-0.190799949,-0.23005707,-0.138426598,-0.190760079,-0.11060822,0.046974339,-0.386448647,-0.182089429,-0.226278253,-0.161455538,-0.196438209,-0.203000591,0.100552234,-0.360155534,-0.164432485,-0.224114061,0.150259844,-0.204687021,-0.196825146,-0.124496008,-0.364798335,-0.178932572,-0.228405465,-0.066736838,-0.209850302,-0.068957302,-0.128312659,-0.370514437,-0.183144552,-0.233469591,-0.062751096,-0.227214011,-0.244043537,-0.173887591,-0.391242242,-0.194431609,-0.240623157,-0.108330807,-0.239724568,-0.148213465,-0.216538376,-0.414390284,-0.197850117,-0.25373596,-0.162223724,-0.239724568
S B E R Bank,-0.401847803,-0.012685799,-0.354523721,-0.3000083,-0.307056523,-0.271875148,-0.299610457,-0.357835893,-0.035811643,-0.308473777,-0.291320823,-0.285795956,-0.278313698,-0.298673577,-0.295911624,-0.079193423,-0.305328075,-0.284331782,-0.27325136,-0.287513057,-0.291716241,-0.261644604,-0.193355768,-0.312784424,-0.275892431,-0.269017981,-0.294398225,-0.284031734,-0.265871615,-0.198728434,-0.32464107,-0.272377052,-0.267106958,-0.253491962,-0.275069636,-0.243104548,-0.178060741,-0.34666563,-0.26480778,-0.268026579,-0.23678815,-0.26420058,-0.263075803,-0.209978139,-0.284391321,-0.249560361,-0.27204744,-0.254152659,-0.26420058
S B I Commercial & Intl. Bank Ltd. [Merged],-0.401130983,-0.003593608,-0.446997367,-0.300169235,-0.305634819,-0.272155722,-0.300379596,-0.357296729,-0.040452225,-0.438102601,-0.291953332,-0.284546099,-0.278040058,-0.298310366,-0.295430948,-0.071623655,-0.396475634,-0.284006487,-0.27196909,-0.288593232,-0.292845838,-0.261656864,-0.198575026,-0.399254618,-0.276169758,-0.267583499,-0.299264776,-0.288420873,-0.267227289,-0.215772296,-0.400902955,-0.274776949,-0.26566349,-0.257158159,-0.279539147,-0.24438707,-0.193498441,-0.420771735,-0.26921624,-0.26662283,-0.246284957,-0.267224982,-0.263383217,-0.220165471,-0.441931964,-0.25454772,-0.271069947,-0.258201973,-0.267224982
S B M Bank (India) Ltd.,0,-1.39E-17,0,4.71E-17,0,0,-4.02E-17,5.89E-17,0,0,0,0,3.95E-17,-0.298415294,-0.295114406,-0.09077691,-0.078130115,-0.291376405,-0.269678836,-0.283613081,-0.288579471,-0.204990412,-0.200521482,-0.071285914,-0.282659715,-0.263294977,-0.297402174,-0.279311236,-0.250158607,-0.21429322,-0.111652866,-0.280347965,-0.255999287,-0.252175057,-0.265521369,-0.244264925,-0.192530004,-0.111174132,-0.27297537,-0.250350954,-0.235690874,-0.248116854,-0.262922095,-0.217681852,-0.153175288,-0.256974506,-0.255229636,-0.244058516,-0.248116854
S B M Bank (Mauritius) Ltd.,0,-1.39E-17,0,4.71E-17,0,0,-4.02E-17,5.89E-17,0,0,0,0,3.95E-17,-3.67E-17,3.33E-17,-1.03E-17,5.98E-17,0,0,3.35E-17,-0.28844821,-0.261190978,-0.200614499,-0.211067997,-0.273207222,-0.26669808,-0.296366969,-0.285208403,-0.261270864,-0.230021496,-0.23493286,-0.273968264,-0.264362731,-0.254431137,-0.277712941,-0.24288316,-0.201914973,-0.259493302,-0.269799101,-0.264972068,-0.244239384,-0.264985757,-0.260579597,-0.235320041,-0.291510179,-0.257342962,-0.26941274,-0.255661888,-0.264985757
S V C Co-Operative Bank Ltd.,-0.204722346,0.038092398,-0.453734054,-0.231551071,-0.239762257,-0.236219279,-0.23769169,-0.211473461,0.013686381,-0.443378759,-0.223495614,-0.221307628,-0.23129106,-0.239903243,-0.201464775,-0.031900537,-0.400595981,-0.219132013,-0.211928714,-0.240880598,-0.234561335,-0.159873029,-0.152252816,-0.397452428,-0.217934796,-0.216418959,-0.16898941,-0.232343775,-0.227539133,-0.180683195,-0.395866087,-0.220226851,-0.216925859,-0.151235691,-0.233623714,-0.21035444,-0.168402245,-0.416544679,-0.217478485,-0.22018166,-0.194379534,-0.228125547,-0.236964019,-0.195839212,-0.438252824,-0.207046359,-0.227527968,-0.237671457,-0.228125547
Sakura Bank Ltd. [Merged],0,-0.007461583,-0.528134385,-0.299237263,-0.305994821,-0.271898925,-0.29851775,5.89E-17,-0.028403154,-0.469071026,-0.290218343,-0.284693997,-0.278471801,-0.295583056,-0.295935071,-0.064667751,-0.402464083,-0.281615824,-0.272907983,-0.289517938,-0.290294869,-0.254582752,-0.200635169,-0.404935762,-0.274358548,-0.268761439,-0.299126663,-0.286607311,-0.267248639,-0.225671122,-0.405913406,-0.274773397,-0.266460942,-0.258101669,-0.278864987,-0.244226754,-0.196368638,-0.42564055,-0.268830832,-0.267807807,-0.246574151,-0.266340181,-0.262792981,-0.222585875,-0.446473029,-0.254597728,-0.271592093,-0.258639546,-0.266340181
Sangli Bank Ltd. [Merged],-0.396007049,-0.009924358,-0.539490798,-0.298555749,-0.303009975,-0.270409665,-0.295706857,-0.353481103,-0.034039452,-0.506528001,-0.289292697,-0.2813832,-0.276922043,-0.294727493,-0.293156533,-0.072183033,-0.44448847,-0.2818968,-0.269012982,-0.287644211,-0.288809741,-0.258971889,-0.199453515,-0.44401983,-0.274528451,-0.264736424,-0.297824185,-0.284007,-0.265038997,-0.216490121,-0.437244136,-0.273525166,-0.262501111,-0.255866183,-0.276121106,-0.242753381,-0.193352437,-0.454823492,-0.268255232,-0.263768229,-0.244640197,-0.264494587,-0.262288822,-0.21890259,-0.472957255,-0.25378483,-0.267896233,-0.257159876,-0.264494587
Saraswat Co-Operative Bank Ltd.,-0.365502382,0.213791521,-0.333017762,-0.124604084,-0.15025156,-0.17726706,-0.154301133,-0.341432849,0.151026612,-0.335767601,-0.122569766,-0.1359414,-0.170540384,-0.162141019,-0.285313318,0.098558086,-0.310195663,-0.118373937,-0.137276294,-0.194032252,-0.154536216,-0.247913226,-0.038162929,-0.30640437,-0.126603318,-0.147458224,-0.218144714,-0.156202198,-0.245984839,-0.085455214,-0.310728042,-0.132222881,-0.148721027,-0.166104788,-0.17535335,-0.220851269,-0.11599945,-0.325324988,-0.137044267,-0.155854868,-0.171069693,-0.180186677,-0.244249741,-0.136547029,-0.344171371,-0.13948602,-0.168955743,-0.176853049,-0.180186677
Satara Sahakari Bank Ltd.,0,-1.39E-17,0,4.71E-17,0,0,-4.02E-17,5.89E-17,0,0,0,0,3.95E-17,-0.299407263,-0.2958999,-0.073181923,-0.447524792,-0.283299959,-0.273186918,-0.289902557,-0.293690785,-0.261656864,-0.200924553,-0.44750939,-0.275789393,-0.268918035,-0.300419551,-0.289597542,-0.267248639,-0.21866914,-0.442338242,-0.274779533,-0.266758217,-0.258128224,-0.280745138,-0.24386032,-0.195381719,-0.461014332,-0.269505017,-0.267742759,-0.246623964,-0.267917716,-0.262706905,-0.220454852,-0.479377795,-0.254824387,-0.271787109,-0.258344361,-0.267917716
Saurashtra Gramin Bank,0,0.006497402,-0.521654899,-0.28921792,-0.286992884,-0.265994985,-0.279219439,5.89E-17,-0.004757194,-0.494583679,-0.278141578,-0.265377926,-0.271887068,-0.275766678,3.33E-17,-0.062615486,-0.43618989,-0.270470587,-0.252045712,-0.27257113,-0.271153601,-0.223503251,-0.189490416,-0.436930882,-0.263712343,-0.24937701,-0.287582111,-0.266311499,-0.222116437,-0.194666723,-0.434131316,-0.261097763,-0.246617485,-0.24272261,-0.259638315,-0.191864752,-0.161345961,-0.453060793,-0.252528047,-0.247862039,-0.237196342,-0.249863982,-0.250963673,-0.195527355,-0.472047446,-0.237815019,-0.252169544,-0.250212008,-0.249863982
Shinhan Bank,-0.401476119,0.01492861,0.080452605,-0.285907635,-0.298726049,-0.266033029,-0.287690132,-0.357379677,0.000691837,-0.039067945,-0.274523363,-0.277698978,-0.270387695,-0.285418804,-0.29410616,-0.050087594,-0.115897336,-0.265720242,-0.25932917,-0.280810226,-0.275979515,-0.260982555,-0.176437102,-0.133074587,-0.258294058,-0.255586449,-0.291162809,-0.269289363,-0.266885702,-0.202736501,-0.166147027,-0.257328526,-0.250202974,-0.24702233,-0.261465131,-0.241844928,-0.182049076,-0.192651914,-0.252397343,-0.251084894,-0.235059445,-0.251137085,-0.26322951,-0.213294781,-0.229168298,-0.240451795,-0.254498437,-0.242403151,-0.251137085
Shivalik Mercantile Co-Op. Bank Ltd.,0,-1.39E-17,0,4.71E-17,0,0,-4.02E-17,5.89E-17,0,0,0,0,3.95E-17,-0.295545525,-0.29376617,-0.069901932,-0.425365427,-0.282605049,-0.269932637,-0.288734701,-0.290296744,-0.258444702,-0.200046064,-0.426362358,-0.275269816,-0.26609601,-0.299405446,-0.28613919,-0.263160267,-0.218096924,-0.419685543,-0.274391984,-0.264129155,-0.257794391,-0.277412434,-0.241425055,-0.195185814,-0.437196499,-0.269391908,-0.265177558,-0.245849552,-0.265202845,-0.261895331,-0.2201444,-0.452965396,-0.254688218,-0.26932297,-0.257268124,-0.265202845
Shree Suvarna Sahakari Bank Ltd.,0,-1.39E-17,0,4.71E-17,0,0,-4.02E-17,5.89E-17,0,0,0,0,3.95E-17,-3.67E-17,3.33E-17,-1.03E-17,5.98E-17,0,0,3.35E-17,-0.292746829,-0.261620083,-0.200449136,-0.448647616,-0.275388201,-0.268335072,-0.299861985,-0.288439787,-0.267109869,-0.218239978,-0.444363556,-0.274311244,-0.266260709,-0.258003579,-0.278823233,-0.244188584,-0.195145154,-0.462657236,-0.268772462,-0.266613006,-0.246034968,-0.265870326,-0.262829871,-0.220157042,-0.480515056,-0.25391169,-0.270679033,-0.258105382,-0.265870326
Shreeji Bhatia Co-Op. Bank Ltd.,0,-0.012406717,-0.544743633,-0.300087474,-0.30735137,-0.272902334,-0.301579276,5.89E-17,-0.035875588,-0.512036159,-0.291399946,-0.285940986,-0.279162416,-0.299810427,3.33E-17,-0.073712242,-0.448450949,-0.283753909,-0.273369889,-0.28996666,-0.294125072,3.48E-17,-0.201148482,-0.448582717,-0.276227854,-0.269125243,-0.300468786,-0.290186786,-3.03E-17,-0.219036993,-0.44441639,-0.275241039,-0.267162249,-0.258464766,-0.281233082,-0.244440508,-0.195535116,-0.463063684,-0.269926174,-0.268148815,-0.247045532,-0.268263852,-0.263456997,-0.220598138,-0.481380971,-0.2551647,-0.272198023,-0.259093772,-0.268263852
Shri Arihant Co-Op. Bank Ltd.,-0.402511525,-0.011334455,-0.537858561,-0.298636475,-0.305638871,-0.271646092,-0.300048513,-0.357939579,-0.034473365,-0.506662711,-0.289955234,-0.284448399,-0.278055694,-0.298495604,-0.295618529,-0.073283628,-0.444756845,-0.282430353,-0.272072803,-0.289310156,-0.292839837,-0.261558782,-0.200676509,-0.444658834,-0.27508749,-0.268044566,-0.299793568,-0.288991567,-0.267195266,-0.21839325,-0.440885299,-0.274155256,-0.266082569,-0.258151527,-0.280300168,-0.244341265,-0.195374326,-0.459747926,-0.268966562,-0.267176743,-0.246669165,-0.267580385,-0.263377069,-0.220624828,-0.478479957,-0.254426489,-0.271340788,-0.258868948,-0.267580385
Siam Commercial Bank,0,-1.39E-17,0,4.71E-17,0,0,-0.301549217,5.89E-17,-0.03583448,-0.487803255,-0.29139518,-0.2859412,-0.279134618,-0.299244625,-0.295817833,-0.072230253,-0.431422285,-0.28357405,-0.27318775,-0.287633159,-0.293197243,-0.261669124,-0.199064224,-0.432407933,-0.275857354,-0.268947591,-0.299903547,-0.289544074,-0.267195266,-0.218107142,-0.430142328,-0.275059537,-0.26698121,-0.257816069,-0.280627191,-0.244371802,-0.19488826,-0.449184565,-0.269751344,-0.268016205,-0.245750387,-0.267934629,-0.263413958,-0.221079971,-0.468432152,-0.255103435,-0.272133498,-0.258293151,-0.267934629
Societe Generale,-0.391334446,-0.012166804,0.228353063,-0.287200804,-0.299040689,-0.230869354,-0.287461158,-0.316963075,-0.027937269,0.07282401,-0.278701637,-0.274430847,-0.214208109,-0.283195954,-0.288490465,-0.071710831,0.313597582,-0.272054035,-0.26465944,-0.112358214,-0.267262642,-0.258640865,-0.186527668,0.2743802,-0.265243669,-0.260371025,0.04302305,-0.275187257,-0.263565902,-0.193918244,0.290666991,-0.262356974,-0.261101076,-0.056858084,-0.270390439,-0.241012816,-0.183163518,0.690528909,-0.256913606,-0.26358422,-0.071471757,-0.257087885,-0.260807084,-0.213585567,0.59456017,-0.245101439,-0.26773305,-0.007112408,-0.257087885
