Company Name,Other income,Profit after tax,Total capital,Reserves and funds,Deposits (accepted by commercial banks),Current liabilities & provisions,Income from financial services,Other income.1,Profit after tax.1,Total capital.1,Reserves and funds.1,Deposits (accepted by commercial banks).1,Current liabilities & provisions.1,Income from financial services.1,Other income.2,Profit after tax.2,Total capital.2,Reserves and funds.2,Deposits (accepted by commercial banks).2,Current liabilities & provisions.2,Income from financial services.2,Other income.3,Profit after tax.3,Total capital.3,Reserves and funds.3,Deposits (accepted by commercial banks).3,Current liabilities & provisions.3,Income from financial services.3,Other income.4,Profit after tax.4,Total capital.4,Reserves and funds.4,Deposits (accepted by commercial banks).4,Current liabilities & provisions.4,Income from financial services.4,Other income.5,Profit after tax.5,Total capital.5,Reserves and funds.5,Deposits (accepted by commercial banks).5,Current liabilities & provisions.5,Income from financial services.5,Other income.6,Profit after tax.6,Total capital.6,Reserves and funds.6,Deposits (accepted by commercial banks).6,Current liabilities & provisions.6,Income from financial services.6
South Indian Bank Ltd.,1.101323408,0.151575867,-0.366988076,-0.038126321,0.028082757,-0.164344017,0.012643093,0.693887466,0.0771838,-0.377505373,-0.045635863,0.058189294,-0.138550571,0.033860448,0.357877228,-0.035721744,-0.353867136,-0.055858285,0.040437222,-0.169994309,0.004213034,0.556635149,-0.179847707,-0.344704661,-0.071616989,-0.004866181,-0.203223435,-0.034139977,0.539420073,-0.207564573,-0.352792937,-0.092931876,-0.008718133,-0.162244036,-0.055055062,0.388743515,-0.052295142,-0.374021697,-0.089363915,-0.028062909,-0.136733593,-0.059192783,0.367867779,-0.070285822,-0.377451233,-0.069759975,-0.035731139,-0.144550959,-0.059192783
South Indian Co-Op. Bank Ltd.,0,-0.012240247,-0.545129435,-0.299964315,-0.307273176,-0.272768387,-0.30140644,-0.358043264,-0.035784238,-0.512260677,-0.291256953,-0.28582129,-0.278920918,-0.29949968,-0.29580611,-0.073628699,-0.448493048,-0.283609334,-0.273182609,-0.289582042,-0.29375229,-0.2613994,-0.201062356,-0.448527803,-0.276083162,-0.268872663,-0.300117749,-0.289494242,-0.26655479,-0.218911821,-0.444050953,-0.274998821,-0.266690284,-0.258224689,-0.2805001,-0.244234388,-0.194982516,-0.461989806,-0.269687388,-0.267662334,-0.246820911,-0.26772565,-0.263383217,-0.223128113,-0.480187844,-0.25539006,-0.271641166,-0.258528799,-0.26772565
Sree Narayana Guru Co-Op. Bank Ltd.,-0.40288321,-0.012279416,-0.540846049,-0.299935854,-0.307100813,-0.27284289,-0.301310961,-0.358312846,-0.035756833,-0.509050079,-0.291276972,-0.285710196,-0.2791129,-0.299561829,3.33E-17,-0.073617802,-0.446251326,-0.283626975,-0.273145985,-0.289930556,-0.293901928,-0.261742685,-0.20133796,-0.446446048,-0.276130297,-0.268944939,-0.30038822,-0.289973276,-0.267280662,-0.219011448,-0.44250555,-0.275137693,-0.266996287,-0.258362882,-0.28105357,-0.244440508,-0.195590561,-0.46112557,-0.269831218,-0.267993623,-0.246938987,-0.268125305,-0.263450848,-0.220567233,-0.479489526,-0.255077673,-0.272041222,-0.258953049,-0.268125305
Standard Chartered Bank - India Branches,0.075023235,1.182484411,6.814053502,0.680394885,0.065741812,1.803939659,0.208498981,0.281675447,0.837051777,5.055140542,0.616284452,0.07182923,1.020676885,0.210802226,-0.241888401,0.713975829,3.466058074,0.567278907,0.123791247,1.689552447,0.238492268,0.13022684,0.775386816,3.265067784,0.506149975,0.051637652,2.115254541,0.20564443,-0.234157384,0.562500201,2.830824848,0.459547251,0.058614849,1.172013688,0.144876119,-0.205491545,0.630395699,2.719601212,0.442236607,0.027478477,0.881419583,0.082474032,-0.22172241,0.428585808,2.487043084,0.398664508,0.035413156,1.167935332,0.082474032
Standard Chartered Grindlays Bank Ltd. [Merged],-0.397838922,0.016549243,-0.461677608,-0.265850839,-0.283010884,-0.248496368,-0.25194728,-0.354455746,0.007227933,-0.449208725,-0.254460882,-0.259384384,-0.242304417,-0.246314317,-0.295044063,0.009856684,-0.404284824,-0.242877281,-0.244054182,-0.229983801,-0.238153393,-0.260381807,-0.140574079,-0.406663069,-0.242932934,-0.241372639,-0.250566651,-0.236930784,-0.265732846,-0.173040024,-0.407436795,-0.24142707,-0.242596477,-0.213946353,-0.236187169,-0.241722783,-0.181289481,-0.427120875,-0.242383143,-0.246536174,-0.219871011,-0.239809365,-0.248086274,-0.275846012,-0.425323956,-0.242328928,-0.253195901,-0.239475038,-0.239809365
State Bank Of Bikaner & Jaipur [Merged],-0.357697011,0.210462124,-0.496459095,-0.177580026,-0.092868189,-0.059525893,-0.062672833,-0.294878066,0.215738987,-0.475522157,-0.157900152,-0.055506256,0.002058669,-0.022402924,-0.277716302,0.163126315,-0.412262406,-0.107557007,-0.040679993,-0.007794933,0.012877028,-0.215644489,0.050395656,-0.41423127,-0.104714602,-0.038717096,-0.089834894,0.036009136,-0.185972248,-0.032142055,-0.414111526,-0.104533477,-0.052984391,0.007478927,0.01898096,-0.173924716,-0.051966169,-0.433606924,-0.103963081,-0.047480464,-0.044588276,-0.02218777,-0.246450829,-0.101117533,-0.453903138,-0.110714426,-0.054096773,-0.068241821,-0.02218777
State Bank Of Hyderabad [Merged],-0.303059409,0.390420917,-0.525394205,-0.080483685,0.032465835,0.227401328,0.088107101,-0.297470203,0.496804818,-0.497412597,-0.039043381,0.093313956,0.369336479,0.169796936,-0.251982584,0.397861755,-0.438179023,-0.00506101,0.099769601,0.22000996,0.218510177,-0.210813987,0.229531627,-0.43881794,0.001859981,0.092950426,0.31806218,0.242418337,-0.227357665,0.041385145,-0.435795596,-0.005619358,0.079329808,0.123600088,0.18029239,-0.163947002,0.04788265,-0.454678026,-0.002496165,0.072835084,0.037239699,0.092331023,-0.209567242,-0.071010679,-0.473555814,-0.030483493,0.046066088,0.076643373,0.092331023
State Bank Of India,2.424201154,-3.218135993,0.336931447,10.99307682,12.29661007,12.9739277,11.72665776,0.776711432,0.357948176,0.154967419,10.19581725,12.1731685,12.36863179,11.24771978,0.841776644,5.188841737,0.02053721,9.660772959,11.97866084,11.72780797,10.81474091,0.506711784,6.830343188,-0.003641371,8.967362503,11.4932436,11.33532426,10.90196708,0.602304131,7.872687167,-0.051994155,8.741583954,11.47985332,12.2022255,10.85583749,0.423089141,9.088227907,-0.081725929,8.854645894,11.32088371,12.31959982,10.374409,0.439372382,8.359203308,-0.125709426,7.892295236,11.13425729,11.76486724,10.374409
State Bank Of Indore [Merged],-0.384511383,0.085688084,-0.528609218,-0.270788581,-0.264428095,-0.220719554,-0.240304552,-0.317191183,0.067468723,-0.499844868,-0.254570034,-0.240981248,-0.172117072,-0.249004902,-0.262733299,-0.025336924,-0.439889257,-0.245627232,-0.221213097,-0.212728266,-0.236109843,-0.199694023,-0.153251882,-0.440440411,-0.239684301,-0.215908112,-0.186071894,-0.221432216,-0.230645441,-0.170528915,-0.437226525,-0.237799935,-0.209257112,-0.197556583,-0.204209969,-0.225088171,-0.15229551,-0.456068505,-0.233658386,-0.203459638,-0.182910491,-0.197910725,-0.247028768,-0.181424952,-0.474852691,-0.221680031,-0.206473456,-0.212825585,-0.197910725
State Bank Of Mauritius Ltd.,-0.395476071,-0.009620795,-0.431763155,-0.297552883,-0.305639896,-0.272312653,-0.299629022,-0.35078528,-0.037707156,-0.426577378,-0.289161143,-0.284475831,-0.277951451,-0.297371668,-0.292922057,-0.070966204,-0.309595766,-0.281429081,-0.271508961,-0.288652178,-0.289231652,-0.255318362,-0.197317581,-0.316833112,-0.273867471,-0.266694086,-0.299001339,-0.284456208,-0.258740984,-0.210601916,-0.220839315,-0.272104799,-0.26544154,-0.256841668,-0.276482568,-0.241287642,-0.204166034,-0.245798155,-0.268530883,-0.266256279,-0.243507867,-0.264779327,-0.26247327,-0.22037759,-0.278736937,-0.254071022,-0.270493391,-0.255611095,-0.264779327
State Bank Of Mysore [Merged],-0.357750109,0.205130193,-0.510308378,-0.164027884,-0.126301533,-0.146914355,-0.099953963,-0.351739187,0.192097594,-0.477917009,-0.118066897,-0.100983466,-0.121445033,-0.073630177,-0.293801342,0.059830226,-0.424470843,-0.114146819,-0.083713828,-0.15712063,-0.05106596,-0.202366738,-0.058344061,-0.425813214,-0.119637265,-0.087115271,-0.167680537,-0.041008668,-0.266266575,-0.149379915,-0.423793408,-0.129896618,-0.088688829,-0.128759438,-0.049829711,-0.243112182,-0.120268705,-0.443015118,-0.133520012,-0.09509511,-0.118620475,-0.085754644,-0.262301118,-0.170547882,-0.462678008,-0.142732632,-0.108475168,-0.13960027,-0.085754644
State Bank Of Patiala [Merged],-0.288563719,0.257333177,-0.254343938,-0.121435587,-0.006742159,0.072363649,0.01675887,-0.293405732,0.262364052,-0.292353433,-0.110249436,0.00532066,0.066725436,0.056518345,-0.246976526,0.215584368,-0.293993173,-0.090719101,0.026765317,-0.040413855,0.093248676,-0.223601332,0.028526447,-0.302031188,-0.091814341,0.01418205,0.058002515,0.107927799,-0.179823679,-0.104713859,-0.282972432,-0.089107737,-0.007178376,0.046562807,0.06154083,-0.154511307,-0.128629791,-0.258402311,-0.081003899,-0.028675687,0.081265863,-0.002783319,-0.190267762,-0.357205597,-0.217859529,-0.098750219,-0.024052453,0.113037244,-0.002783319
State Bank Of Saurashtra [Merged],-0.402830112,0.027761476,-0.235301173,-0.286963284,-0.271966333,-0.192863481,-0.252480373,-0.34099737,0.006396647,-0.277946904,-0.276554826,-0.247218119,-0.165878081,-0.247959662,-0.295935071,-0.00927841,-0.283863327,-0.264243935,-0.233052043,-0.230069271,-0.247914731,-0.261718165,-0.186996196,-0.292421169,-0.258683923,-0.228841161,-0.257811808,-0.243637615,-0.262573164,-0.203697006,-0.306681817,-0.253830251,-0.227045877,-0.223572219,-0.236877482,-0.205323596,-0.179384026,-0.32921405,-0.249584978,-0.22675922,-0.217128976,-0.227804665,-0.246370901,-0.213304615,-0.286705748,-0.24096681,-0.234695995,-0.208919075,-0.227804665
State Bank Of Travancore [Merged],-0.21058965,0.322638315,-0.496459095,-0.15568102,-0.070399338,-0.076299297,-0.036578253,-0.205169384,0.296515268,-0.475522157,-0.128694182,-0.037080695,0.036055175,0.000196456,-0.210890701,0.111703475,-0.422786921,-0.119549905,-0.003270442,-0.065737544,0.052061891,-0.186955719,0.010708622,-0.424215705,-0.118568516,0.0012467,-0.054729352,0.091099432,-0.186089668,-0.141310136,-0.42291724,-0.129113769,-0.008153938,-0.03245254,0.037133304,-0.131120554,-0.133532966,-0.4382062,-0.124897193,-0.029567701,-0.068066467,-0.021206589,-0.187298139,-0.173163548,-0.453464195,-0.126361459,-0.037590717,-0.126170002,-0.021206589
Subhadra Local Area Bank Ltd.,-0.402803563,-0.011833865,-0.523761968,-0.299543608,-0.307188881,-0.272749365,-0.301431194,-0.357960316,-0.035459945,-0.495968202,-0.290856571,-0.285892885,-0.27902603,-0.299754734,-0.295911624,-0.076276665,-0.437163408,-0.283567596,-0.273342714,-0.2898974,-0.294062817,-0.261693644,-0.203990652,-0.433201696,-0.27637145,-0.26909441,-0.30016059,-0.290130771,-0.267259313,-0.221798446,-0.429992631,-0.275717401,-0.267155117,-0.258303811,-0.281220586,-0.244409972,-0.196109895,-0.4490391,-0.270423854,-0.268143576,-0.246908545,-0.268261767,6.99E-17,-0.221110876,-0.468296479,-0.255629491,-0.272192107,-0.258928901,-0.268261767
Sumitomo Bank Ltd. [Merged],0,-1.39E-17,0,4.71E-17,0,0,-4.02E-17,5.89E-17,0,0,0,0,3.95E-17,-3.67E-17,3.33E-17,-1.03E-17,5.98E-17,0,0,3.35E-17,-0.293726788,-0.261718165,-0.200483586,-0.423342067,-0.2761577,-0.268758531,-0.300465589,-0.288636565,-0.267227289,-0.21754259,-0.42214674,-0.275035638,-0.266617277,-0.25838185,-0.280023433,-0.24438707,-0.195405745,-0.441414997,-0.269783461,-0.267895882,-0.246875336,-0.267540535,-0.263413958,-0.221307542,-0.461185602,-0.255127681,-0.271750333,-0.258965539,-0.267540535
Sumitomo Mitsui Banking Corpn.,-0.402617721,-0.001238549,0.525796108,-0.29975215,-0.305413276,-0.267535764,-0.284402727,5.89E-17,0.009630439,2.098179906,-0.286342739,-0.278555253,-0.269148931,-0.273427601,3.33E-17,-0.020796516,1.386892847,-0.272920198,-0.257422887,-0.258284971,-0.264235007,3.48E-17,-0.152142574,1.292597821,-0.261830979,-0.241412547,-0.267765508,-0.260822802,-3.03E-17,-0.184540543,1.091216451,-0.258154975,-0.243777056,-0.230265128,-0.247060289,-0.244089341,-0.164018404,1.029168267,-0.250386795,-0.243872445,-0.213539653,-0.236133468,-0.259983213,-0.186659094,2.689539474,-0.234788572,-0.238614111,-0.205224897,-0.236133468
Suryoday Small Finance Bank Ltd.,-0.377794515,-0.007432206,-0.47914749,-0.275647667,-0.303882827,-0.260511113,-0.276028397,-0.320757963,0.003678983,-0.451887966,-0.253313597,-0.279145646,-0.265002634,-0.266631523,-0.259509257,-0.033415217,-0.403532321,-0.241601487,-0.262631415,-0.276351005,-0.263557324,-0.216895025,-0.197090207,-0.396194389,-0.221760736,-0.258739816,-0.288156941,-0.253738782,-0.226076713,-0.24281972,-0.398190795,-0.23006575,-0.256003056,-0.243845502,-0.242331719,-0.214278346,-0.181185984,-0.418136242,-0.228636903,-0.254628192,-0.23116617,-0.227323921,-0.238654798,-0.190269332,-0.439457922,-0.218393803,-0.25416525,-0.244422396,-0.227323921
Syndicate Bank [Merged],0.700090138,0.969006427,0.049548917,0.21425172,0.555866021,0.235242338,0.561345378,0.666079018,0.745834186,-0.045511592,0.243378547,0.62274805,0.454825075,0.642147752,0.258424321,0.479465593,-0.100705199,0.24965857,0.691868726,0.313134882,0.65142821,0.637748357,-0.767367391,-0.098039207,0.148879327,0.567152337,0.188850792,0.648817617,0.560032722,-0.127359817,-0.046675504,0.153629673,0.488293939,0.112906608,0.447121785,0.493307205,-0.791177511,0.142808595,0.107784878,0.446432762,0.059468869,0.269706347,0.36750503,-0.584199642,0.510937533,0.049689639,0.33081239,0.103419393,0.269706347
T J S B Sahakari Bank Ltd.,-0.323077267,0.033485101,-0.425026468,-0.259603368,-0.2638221,-0.19970029,-0.257865228,-0.265804656,0.017564191,-0.421802643,-0.24949519,-0.243704048,-0.222836889,-0.257710662,-0.240106385,-0.026005272,-0.387082505,-0.241167329,-0.232955549,-0.2247605,-0.253126929,-0.205726021,-0.164255388,-0.392290475,-0.236860611,-0.232800419,-0.219129405,-0.251263594,-0.217142075,-0.180384314,-0.395496247,-0.237186316,-0.23224355,-0.203213853,-0.249037663,-0.203583031,-0.16921174,-0.416707258,-0.233551142,-0.233226255,-0.201275904,-0.241789567,-0.228528566,-0.191217546,-0.438396478,-0.224002039,-0.240323755,-0.23868899,-0.241789567
Tamilnad Mercantile Bank Ltd.,0.385937204,0.096263815,-0.404945006,-0.131271744,-0.156348255,-0.152689104,-0.15050141,0.106467713,0.08223089,-0.406288495,-0.125729925,-0.135600756,-0.130490788,-0.149901622,0.031017973,0.074374059,-0.374105778,-0.118647598,-0.134214206,-0.173853761,-0.14554707,0.098374948,0.006674463,-0.378032703,-0.114092923,-0.138233961,-0.174088067,-0.14014203,0.304450818,-0.009095034,-0.38218641,-0.107527939,-0.136897783,-0.118126655,-0.150050397,0.133078919,-0.0053204,-0.395807291,-0.080857277,-0.143028837,-0.123643774,-0.150086307,-0.002585088,-0.070011894,-0.418648032,-0.087116367,-0.157323648,-0.141895548,-0.150086307
Times Bank Ltd. [Merged],0,-1.39E-17,0,4.71E-17,0,0,-4.02E-17,5.89E-17,0,0,0,0,3.95E-17,-3.67E-17,3.33E-17,-1.03E-17,5.98E-17,0,0,3.35E-17,-0.292592316,3.48E-17,-0.198554356,-0.399254618,-0.275884758,-0.26800568,-0.292973618,-0.284354727,-0.267280662,-0.216469685,-0.400902955,-0.27461321,-0.263362292,-0.242510171,-0.273353758,-0.244257291,-0.191088438,-0.420771735,-0.268710182,-0.262362436,-0.244907251,-0.260728797,-0.261907628,-0.216802471,-0.441931964,-0.253637188,-0.265223759,-0.256343435,-0.260728797
Toronto-Dominion Bank,0,-1.39E-17,0,4.71E-17,0,0,-4.02E-17,5.89E-17,0,0,0,0,3.95E-17,-3.67E-17,3.33E-17,-1.03E-17,-0.447714233,0,0,3.35E-17,-0.293928181,3.48E-17,-0.200748856,-0.429821965,-0.276185835,0,-0.300461113,-0.289974003,-0.26720594,-0.218569513,-0.426862199,-0.275144798,0,-0.258444173,-0.280988958,-0.244394704,-0.195071228,-0.44599716,-0.269771731,3.81E-17,-0.246949595,-0.267999964,-0.263438552,-0.220183733,-0.46545931,-0.254981338,-0.272207884,-0.259041729,-0.267999964
U B S Ag,0,-0.022057071,-0.26523541,-0.301107934,0,-0.27170078,-0.298736556,-0.35078528,-0.035396,0.578392141,-0.29229032,-0.285091344,-0.259238821,-0.28924301,-0.293684104,-0.05267381,0.556119235,-0.282065472,-0.271011337,-0.21642267,-0.280035863,3.48E-17,-0.190413691,0.504456516,-0.273656279,-0.267218193,-0.139648151,-0.272617863,-3.03E-17,-0.196889169,0.396119817,-0.270168023,-0.259761697,-0.156239927,-0.271751865,0,-0.188469592,0.353720705,-0.264470687,3.81E-17,-0.245426139,-0.264628269,6.99E-17,-0.214144662,0.280424606,-0.249941373,0,-0.257949255,-0.264628269
U F J Bank Ltd.,-0.402511525,-0.010977035,-0.4897323,-0.299256927,-0.306945588,-0.272439466,-0.300464466,-0.357338203,-0.035711158,-0.470433097,-0.290618725,-0.285467979,-0.278561277,-0.298675998,-0.294598559,-0.073428921,-0.419208586,-0.28301511,-0.273084037,-0.289729405,-0.29281171,-0.261669124,-0.201120922,-5.68E-17,-0.275598297,-0.268605162,-0.299688066,-0.289268002,-0.267280662,-0.218773876,-5.01E-17,-0.274331591,-0.266842822,-0.258325489,-0.280642734,-0.244203852,-0.194453941,0,-0.268974941,-0.268004993,-0.246919615,-0.267786583,-0.263358624,-0.219648519,9.07E-17,-0.254281228,-0.272046117,-0.258996765,-0.267786583
Uco Bank,0.985198593,-2.18451497,1.737390805,0.088900232,0.539535128,0.206407427,0.364899817,0.422832868,-2.009529935,3.54588264,0.107598957,0.560967674,0.257027692,0.372674388,0.17489232,-0.958848358,4.770187519,0.116035769,0.456835056,0.284740136,0.33044941,0.455611444,-0.143633288,4.502274006,0.092371537,0.388809647,0.30233013,0.299123961,0.579834102,0.018455633,4.819106604,0.100596829,0.382500637,0.099721848,0.28054904,0.344588124,0.148646309,4.651677989,0.115716755,0.385030858,-0.004455388,0.269071765,0.273848141,0.011704501,4.28905984,0.078233709,0.338313278,0.068705451,0.269071765
Ujjivan Small Finance Bank Ltd.,-0.329395901,-0.009033255,1.076463415,-0.299729899,-0.289804156,-0.256984125,-0.214060564,-0.238162105,0.055118196,0.714449645,-0.282839395,-0.254384701,-0.246422916,-0.181929955,-0.173843526,0.053390112,0.565580774,-0.229559105,-0.232652425,-0.253893537,-0.18096211,-0.150334625,-0.198316647,0.513477452,-0.229080847,-0.227170971,-0.250699009,-0.178336306,-0.211431164,-0.324963369,0.40407578,-0.24700939,-0.214140489,-0.217620136,-0.143258202,-0.174123202,0.007738716,0.458314663,-0.212555309,-0.201262062,-0.204217654,-0.124429634,-0.192186029,-0.040587754,-0.274842315,-0.175458957,-0.199210694,-0.21014561,-0.124429634
Union Bank Of India,5.750192128,-2.581594498,0.610069,0.938137585,1.595100539,0.369156926,1.298973344,5.307663485,-1.382124096,0.806486784,0.887058596,1.493924278,0.482909222,1.306947026,2.847330163,-1.126280429,1.352077753,1.02271345,1.429952191,0.722622823,2.499900741,7.097282539,0.799946614,2.749256921,1.845552629,2.682592857,1.719198705,2.39068564,7.066926201,1.117503727,2.564311113,1.78332953,2.72614531,1.553937098,2.302968518,7.837438767,1.363062698,2.460621318,1.726917737,2.659937239,1.67004476,2.172827238,6.405622993,1.696655799,2.564269124,1.678798493,2.562026022,1.67737625,2.172827238
United Bank Of India [Merged],0.381556639,0.179488942,0.6161429,-0.056406628,0.161380919,-0.024261559,0.206379429,0.310251167,-0.590114605,0.500941145,-0.10417745,0.191235664,0.055476663,0.173135651,0.030115242,0.019271673,-0.007321181,-0.069105034,0.137889567,0.02834082,0.121285333,0.141923031,-0.298312814,-0.030070169,-0.093551379,0.102782127,-0.057586237,0.127110232,0.137169189,-0.162980262,0.168985234,-0.083685604,0.100871039,-0.051542234,0.028973892,0.100901365,-0.46435033,0.819963237,-0.111812849,0.070635019,-0.088339083,-0.031905519,0.209850599,-0.545939551,2.482194759,-0.167039892,0.040983026,-0.140689414,-0.031905519
United Overseas Bank - Mumbai Branch,-0.402777014,0.004866977,0.198527641,-0.297227909,-0.305503766,-0.269751029,-0.296988755,-0.358250635,-0.032111966,0.050260018,-0.288373725,-0.284929067,-0.27546263,-0.296589554,-0.295935071,-0.073657758,-0.053087033,-0.281016007,-0.272788585,-0.289103847,-0.290037597,-0.261718165,-0.206126587,-0.073487482,-0.274431259,-0.267489848,-0.299230248,-0.286542567,-0.267269988,-0.209541784,-0.113594526,-0.272452624,-0.264605179,-0.253836633,-0.278368205,-0.24442524,-0.192127105,-0.141584974,-0.266998744,-0.267372724,-0.246546015,-0.266757675,-0.263450848,-0.219336662,-0.181538989,-0.252701111,-0.270982312,-0.258593332,-0.266757675
United Western Bank Ltd. [Merged],-0.380635246,0.005777665,-0.516352602,-0.291761308,-0.291377824,-0.265598694,-0.277694422,-0.33664258,-0.010434599,-0.490572302,-0.281572948,-0.267354005,-0.270152278,-0.278160237,-0.283660264,-0.07940773,-0.43336932,-0.27499331,-0.253664292,-0.282785635,-0.270322904,-0.244983048,-0.192301581,-0.434255054,-0.26804909,-0.254792572,-0.293973656,-0.268114512,-0.247511306,-0.213307169,-0.431771385,-0.267202305,-0.251546064,-0.251497637,-0.263732345,-0.228325012,-0.189822447,-0.450767572,-0.262276372,-0.251318258,-0.239256213,-0.255778408,-0.247858787,-0.234463136,-0.469908597,-0.251316263,-0.257238197,-0.250177869,-0.255778408
Utkarsh Small Finance Bank Ltd.,-0.318855995,-0.043247703,-0.08093112,-0.303097106,-0.297156246,-0.262670105,-0.261902765,-0.268749324,0.007008693,0.038659956,-0.289697369,-0.269739585,-0.257900157,-0.245893396,-0.214654038,-0.005882185,-0.049550796,-0.272556607,-0.25361134,-0.255012763,-0.232923194,-0.148507862,-0.162653437,-0.025672025,-0.257230424,-0.245154149,-0.258656469,-0.220512705,-0.127742315,-0.203354699,-0.050646881,-0.253389414,-0.23796787,-0.212657087,-0.202260329,-0.081148011,-0.12078619,-0.080254161,-0.239086782,-0.232246821,-0.198279728,-0.192076925,-0.085322615,-0.150701408,-0.043108329,-0.214606198,-0.231669825,-0.198236228,-0.192076925
Vaishya Sahakari Bank Ltd.,-0.401396472,-0.012161908,-0.541459375,-0.299751633,-0.30679721,-0.272510798,-0.301009052,-0.356881987,-0.035656348,-0.509439242,-0.291080594,-0.285404985,-0.278901806,-0.299310003,-0.294317188,-0.073476141,-0.446472341,-0.283448837,-0.272901028,-0.289703616,-0.293652157,-0.26062701,-0.201041685,-0.446545892,-0.275975739,-0.26870744,-0.300265453,-0.289720119,-0.266405345,-0.219031884,-0.442531967,-0.275035961,-0.266793735,-0.257938546,-0.280853943,-0.243554957,-0.195498153,-0.461206859,-0.26974101,-0.267794184,-0.246503582,-0.267985136,-0.262965133,-0.220579876,-0.479613228,-0.255020738,-0.271889409,-0.258653701,-0.267985136
Veerashaiva Co-Op. Bank Ltd.,-0.401476119,-0.011295286,-0.544901911,-0.299729899,-0.307068026,-0.272833379,-0.301140336,-0.357587048,-0.035199597,-0.512140934,-0.291004331,-0.285591184,-0.279035586,-0.299336638,-0.295407501,-0.073200085,-0.448424638,-0.283283608,-0.273012073,-0.289840665,-0.293639781,-0.260994815,-0.200555933,-0.448398005,-0.275778066,-0.268772558,-0.300339625,-0.289710662,-0.266522766,-0.218738112,-0.443927673,-0.274736579,-0.266795968,-0.258359631,-0.280823465,-0.243814515,-0.195198751,-0.462494657,-0.269416485,-0.2677978,-0.246842128,-0.267918875,-0.262928244,-0.220095233,-0.480507076,-0.254691033,-0.271843607,-0.25900301,-0.267918875
Vijaya Bank [Merged],0.344786436,0.27207555,1.131365932,-0.116036775,0.079432678,-0.116770891,0.114688361,0.341232391,0.231601923,0.755985352,-0.107266112,0.129215852,-0.104217009,0.148526504,0.114772727,0.077359831,0.002992844,-0.067371416,0.196392511,-0.116488815,0.187351753,0.241475517,-0.049796879,-0.020285423,-0.082553674,0.134548946,-0.118974099,0.164734541,0.266363851,-0.121522703,-0.034338699,-0.066222648,0.096526196,-0.102181815,0.130175951,0.278286332,-0.056841621,-0.036208069,-0.070170845,0.080290171,-0.103514141,0.041691414,0.262024981,-0.118477578,0.038570988,-0.05334031,0.092734146,-0.158445862,0.041691414
Vima Kamgar Co.Op. Bank Ltd.,-0.402856661,-0.011824072,-0.54287398,-0.299826149,-0.307135975,-0.272395874,-0.301216366,-0.358292109,-0.035382298,-0.510269956,-0.291130165,-0.285722948,-0.278404042,-0.299504926,3.33E-17,-0.07330179,-0.447014353,-0.283484121,-0.273166508,-0.289275525,-0.293829547,-0.261742685,-0.2006834,-0.447000184,-0.27597172,-0.268925831,-0.300048693,-0.289876887,-0.267291337,-0.21874833,-0.442743304,-0.275002373,-0.266943054,-0.258122805,-0.280969452,-0.244440508,-0.195387263,-0.46115124,-0.269714758,-0.267940155,-0.246762334,-0.268021047,-0.263450848,-0.220450638,-0.479337891,-0.254994327,-0.27197839,-0.258796089,-0.268021047
Vinayak Local Area Bank Ltd.,0,-0.012617252,-0.540865834,-0.300165612,-0.307373445,-0.272512384,-0.301601819,5.89E-17,-0.036113098,-0.509117434,-0.291497182,-0.285964609,-0.278653359,-0.299832219,3.33E-17,-0.07392655,-0.446409194,-0.283867505,-0.273398387,-0.289444257,-0.294143449,3.48E-17,-0.201417196,-0.446625768,-0.276353546,-0.269142242,-0.299924647,-0.29019697,-3.03E-17,-0.219264347,-0.442681664,-0.27538088,-0.267176978,-0.257903321,-0.281242834,-0.244440508,-0.195736566,-0.461369439,-0.270076148,-0.268163512,-0.246471757,-0.268271961,6.99E-17,-0.220776542,-0.479796786,-0.255308445,-0.272210367,-0.25847759,-0.268271961
Westpac Banking Corpn.,-0.381750299,-0.001821194,0.254102838,-0.298532463,-0.301200652,-0.256963518,-0.29388612,-0.334465185,-0.023497656,0.092304631,-0.288676395,-0.279428818,-0.247117874,-0.2914364,-0.27715356,-0.064874793,-0.023523671,-0.280247949,-0.266699748,-0.266438596,-0.28611101,-0.24823199,-0.185418361,-0.045441206,-0.271583453,-0.265847903,-0.257663465,-0.285793646,-0.254375073,-0.212637881,-0.088859276,-0.270501961,-0.266414348,-0.244701219,-0.277341117,-0.23624153,-0.190726198,-0.117548943,-0.265269433,-0.267178525,-0.23696019,-0.266739604,-0.259509795,-0.218267638,-0.159120971,-0.251196114,0,-0.258793591,-0.266739604
Woori Bank,0,-0.006536207,-0.135062035,-0.299306605,-0.30620677,-0.272404592,-0.298508909,-0.357628522,-0.028266129,-0.202112432,-0.289887074,-0.284171091,-0.277594416,-0.296739681,-0.295665424,-0.067108674,-0.230540874,-0.281605497,-0.271726515,-0.289219527,-0.291062935,-0.260908994,-0.196408086,-0.241835032,-0.273901452,-0.266435467,-0.299725791,-0.286088995,-0.266725583,-0.217468508,-0.262067668,-0.27298615,-0.261220184,-0.25616208,-0.274171771,-0.244432874,-0.193326562,-0.285861059,-0.267641371,-0.261131536,-0.24385287,-0.261317738,-0.263456997,-0.214042115,-0.203972968,-0.252383313,-0.264063153,-0.256226444,-0.261317738
